Speaker;Speak
Napoleão Bonaparte;“A arte de ser ora audacioso, ora prudente, é a arte de vencer”
Henry Ford;“Nossos fracassos, às vezes, são mais frutíferos do que os êxitos”
Moliere;“Não somos responsáveis apenas pelo que fazemos, mas também pelo que deixamos de fazer”
Oscar Wilde;“Experiência é o nome que cada um dá a seus erros”
John F. Kennedy;“Somente os que ousam errar muito podem realizar muito”
Aristóteles;“Somos o que repetidamente fazemos. Portanto, a excelência não é um feito, é um hábito”
Ralph Waldo Emerson;“A confiança em si mesmo é o primeiro segredo do sucesso”
Norman Vincent Peale;“Muda tuas ideias e mudarás teu mundo”
Raul Follerean;“A vitória sempre foi de quem nunca duvidou dela”
Norman Vincent Peale;“O problema é que a maioria das pessoas prefere um elogio que prejudique do que uma crítica que beneficie”
John Ruskin;“A maior recompensa pelo trabalho não é o que a pessoa ganha, é o que ela se torna através dele”
Henry Ford;“Não encontre defeitos, encontre soluções. Qualquer um sabe queixar-se”
Aldous Huxley;“Conhecimento não é aquilo que você sabe, mas o que você faz com aquilo que sabe”
Jorge Paulo Lemann;“Se sonhar grande dá o mesmo trabalho que sonhar pequeno, por que sonhar pequeno?”
Madre Teresa de Calcutá;“Por vezes sentimos que aquilo que fazemos não é senão uma gota de água no mar. Mas o mar seria menor se lhe faltasse uma gota.”
Nizan Guanaes;“Se você quer fazer uma coisa realmente grande, seja grande como a coisa que você quer fazer”
Flávio Augusto;“O liderado será reflexo da sua liderança, então quem espera lealdade, primeiro deve ser leal”
Erica Jong;“E o problema é que, se você não arrisca nada, você arrisca mais”
Steve Jobs;“Seu tempo é limitado, então não perca tempo vivendo a vida de outra pessoa”
Bernardinho;“A distância entre o sonho e a realidade, chama-se disciplina”
Pedro Bial;“Não existe falta de tempo, existe falta de interesse. Porque quando a gente quer mesmo, a madrugada vira dia. Quarta-feira vira sábado e um momento vira oportunidade”
Larry Wilson;“Você pode mudar sem crescer, mas não pode crescer sem mudar”
George Eliot;“Nunca é tarde demais para ser o que você poderia ter sido”
Adele;“Eu defino o poder pela confiança para tomar suas próprias decisões, para não ser influenciado por outras pessoas, e ser corajoso e destemido ao saber que, mesmo se você tomar a decisão errada, você fez isso por uma boa razão”
Albert Einstein;“Uma pessoa que nunca cometeu um erro, nunca tentou nada de novo”
Vince Lombardi;“Ganhar não é tudo, mas querer ganhar é”
Barbara Corcoran;“Os meus maiores sucessos chegaram no seguimento de grandes fracassos”
Beverly Sills;“Você pode ficar desapontado se falhar, mas já está derrotado se não tentar”
Carmen Miranda;“Na vida sempre fazemos escolhas. Ainda que escolhemos não escolher”
Albert Einstein;“Um homem feliz está satisfeito demais com o presente para pensar demais no futuro”
Stephen King;“Ocupe-se vivendo ou ocupe-se morrendo”
John R. Wooden;“Não deixe o que você não pode fazer interferir no que pode”
Jim Morrison;“O tipo de liberdade mais importante é ser quem você é”
Martin Luther King;“A hora é sempre certa para fazer a coisa certa”
Oscar Wilde;“Todos nós estamos na sarjeta, mas alguns de nós estão olhando para as estrelas”
Chris Grosser;“Oportunidades não surgem. É você que as cria”
Albert Einstein;“Não tente ser uma pessoa de sucesso. Em vez disso, seja uma pessoa de valor”
Charles Darwin;“Não é o mais forte que sobrevive, nem o mais inteligente. Quem sobrevive é o mais disposto à mudança”
Thomas Edison;“Eu não falhei. Só descobri 10 mil caminhos que não eram o certo”
Ray Goforth;“Há dois tipos de pessoa que vão te dizer que você não pode fazer a diferença neste mundo: as que têm medo de tentar e as que têm medo de que você se dê bem”
Napoleon Hill;“O ponto de partida de qualquer conquista é o desejo”
Roberto Shinyashiki;“Tudo o que um sonho precisa para ser realizado é alguém que acredite que ele possa ser realizado.”
Immanuel Kant;“Acredite em milagres, mas não dependa deles.”
Paulo Coelho;“Não existe nada de completamente errado no mundo, mesmo um relógio parado, consegue estar certo duas vezes por dia.”
Charles Swindoll;“A vida é 10% o que acontece a você e 90% como você reage a isso.”
Malala Yousafzai;“Um livro, uma caneta, uma criança e um professor podem mudar o mundo.”
Charles Chaplin;“Cada segundo é tempo para mudar tudo para sempre.”
Beverly Sills;“Não há atalhos para nenhum destino onde se vale a pena chegar.”
Cecília Meireles;“A primavera chegará, mesmo que ninguém mais saiba seu nome, nem acredite no calendário, nem possua jardim para recebê-la.”
Sócrates;“A mentira nunca vive o suficiente para envelhecer.”
Khalil Gibran;“Aquele que nunca viu a tristeza, nunca reconhecerá a alegria.”
Carlos Drummond de Andrade;“Só é lutador quem sabe lutar consigo mesmo.”
Martin Luther King;“Se um homem não descobriu nada pelo qual morreria, não está pronto para viver.”
Martin Luther King;“O que me preocupa não é o grito dos maus. É o silêncio dos bons.”
Martin Luther King;“No final, não nos lembraremos das palavras dos nossos inimigos, mas do silêncio dos nossos amigos.”
Martin Luther King;“Suba o primeiro degrau com fé. Não é necessário que você veja toda a escada. Apenas dê o primeiro passo.”
William Shakespeare;“Todo mundo é capaz de dominar uma dor, exceto quem a sente.”
Aristóteles;“O sábio nunca diz tudo o que pensa, mas pensa sempre tudo o que diz.”
Aristóteles;“É fazendo que se aprende a fazer aquilo que se deve aprender a fazer.”
Cora Coralina;“Feliz aquele que transfere o que sabe e aprende o que ensina.”
Henry Ford;“Questionar quem deve ser o chefe, é como discutir quem deve ser o saxofonista num quarteto: evidentemente, quem o sabe tocar.”
